Denver,Colorado Springs,Aurora,Fort Collins,Lakewood,Thornton,Arvada,Westminster,Pueblo,Centennial,Greeley,Boulder,Highlands Ranch,Longmont,Loveland,Broomfield,Castle Rock,Grand Junction,Commerce City,Parker
Denver,0,-1,14.9,-1,7.5,10.3,11.1,9.8,-1,16.1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,-1
Colorado Springs,-1,0,-1,-1,-1,-1,-1,-1,43.6,-1,-1,-1,-1,-1,-1,-1,40.9,-1,-1,-1
Aurora,14.9,-1,0,-1,-1,-1,-1,-1,-1,13.9,-1,-1,-1,-1,-1,-1,-1,-1,11.1,-1
Fort Collins,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,31.2,-1,-1,-1,13.6,-1,-1,-1,-1,-1
Lakewood,7.5,-1,-1,-1,0,-1,7.4,-1,-1,18.5,-1,-1,19.4,-1,-1,-1,-1,238.4,-1,-1
Thornton,10.3,-1,-1,-1,-1,0,-1,5.8,-1,-1,-1,-1,-1,28.4,-1,9.9,-1,-1,8.4,-1
Arvada,11.1,-1,-1,-1,7.4,-1,0,5.4,-1,-1,-1,-1,-1,-1,-1,9.8,-1,240.5,-1,-1
Westminster,9.8,-1,-1,-1,-1,5.8,5.4,0,-1,-1,-1,-1,-1,-1,-1,9.3,-1,-1,-1,-1
Pueblo,-1,43.6,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,84.4,-1,-1,-1
Centennial,16.1,-1,13.9,-1,18.5,-1,-1,-1,-1,0,-1,-1,11.1,-1,-1,-1,15.1,-1,-1,9.6
Greeley,-1,-1,-1,31.2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,20.6,-1,-1,-1,48.6,-1
Boulder,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,15.6,-1,13.1,-1,254.7,-1,-1
Highlands Ranch,-1,-1,-1,-1,19.4,-1,-1,-1,-1,11.1,-1,-1,0,-1,-1,-1,18.2,252.4,-1,-1
Longmont,-1,-1,-1,-1,-1,28.4,-1,-1,-1,-1,-1,15.6,-1,0,12.6,17.7,-1,-1,-1,-1
Loveland,-1,-1,-1,13.6,-1,-1,-1,-1,-1,-1,20.6,-1,-1,12.6,0,-1,-1,-1,-1,-1
Broomfield,-1,-1,-1,-1,-1,9.9,9.8,9.3,-1,-1,-1,13.1,-1,17.7,-1,0,-1,-1,-1,-1
Castle Rock,-1,40.9,-1,-1,-1,-1,-1,-1,84.4,15.1,-1,-1,18.2,-1,-1,-1,0,-1,-1,13.4
Grand Junction,-1,-1,-1,-1,238.4,-1,240.5,-1,-1,-1,-1,254.7,252.4,-1,-1,-1,-1,0,-1,-1
Commerce City,7.5,-1,11.1,-1,-1,8.4,-1,-1,-1,-1,48.6,-1,-1,-1,-1,-1,-1,-1,0,-1
Parker,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.6,-1,-1,-1,-1,-1,-1,13.4,-1,-1,0